[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004167s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004280s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001811s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001894s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.031268s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031354s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001251s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001104s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000843s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001536s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004991s ]
[ 2013-04-18T22:34:17+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
