[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010907s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011092s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006332s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006553s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.045056s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045201s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001198s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001381s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000962s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001392s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005295s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001629s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001786s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001014s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.052977s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006168s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.008908s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000132s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000169s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000223s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.009904s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000062s ]
[ 2012-12-29T20:27:24+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.008959s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run CheckRoute Behavior [ RunTime:0.001323s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --END-- [ RunTime:0.001432s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000746s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000818s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_template ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run LocationTemplate Behavior [ RunTime:0.000930s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_template ] --END-- [ RunTime:0.001006s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_parse ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ParseTemplate Behavior [ RunTime:0.007366s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007453s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_filter ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ContentReplace Behavior [ RunTime:0.000547s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run TokenBuild Behavior [ RunTime:0.000618s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000435s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ShowRuntime Behavior [ RunTime:0.000665s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002458s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_end ] --START--
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ShowPageTrace Behavior [ RunTime:0.000693s ]
[ 2012-12-29T20:27:27+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_end ] --END-- [ RunTime:0.000766s ]
