[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant P_ACTION_NAME already defined Dispatcher.class.php 第 206 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant ACTION_NAME already defined Dispatcher.class.php 第 136 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant __SELF__ already defined Dispatcher.class.php 第 138 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant __APP__ already defined Dispatcher.class.php 第 140 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant __URL__ already defined Dispatcher.class.php 第 147 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant __ACTION__ already defined Dispatcher.class.php 第 150 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant THEME_NAME already defined App.class.php 第 69 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant THEME_PATH already defined App.class.php 第 71 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant APP_TMPL_PATH already defined App.class.php 第 72 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000093s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:-0.015066s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000354s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013839s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.002062s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006515s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000089s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000107s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000157s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.005879s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000054s ]
[ 2012-12-28T14:37:18+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:-0.005568s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001234s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001390s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001363s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001487s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.012321s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012453s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000999s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000813s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001155s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004333s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001042s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001160s ]
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant PHP_FILE already defined Dispatcher.class.php 第 53 行.
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant MODULE_NAME already defined Dispatcher.class.php 第 135 行.
[ 2012-12-28T14:37:22+08:00 ] /Thinkphp_project/index.php | NOTIC: [8] Constant P_ACTION_NAME already defined Dispatcher.class.php 第 206 行.
