[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012284s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012461s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002142s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002286s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.039261s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039399s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001257s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001273s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001058s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001393s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005355s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001321s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001445s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000974s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.046894s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006604s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.008602s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000133s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000154s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000219s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.009948s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000061s ]
[ 2013-05-04T13:07:15+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.009302s ]
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --START--
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run CheckRoute Behavior [ RunTime:0.020168s ]
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --END-- [ RunTime:0.020322s ]
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --START--
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000893s ]
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001007s ]
[ 2013-05-04T13:07:16+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_template ] --START--
