[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012306s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012481s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001982s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002114s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.039392s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039532s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.057004s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001433s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001008s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001307s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.061175s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002683s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002813s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000908s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.104246s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.053426s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.065848s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000129s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000109s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000021s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000145s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.058147s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000041s ]
[ 2013-04-15T09:55:22+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.055908s ]
