[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000131s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.004823s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000036s ]
[ 2013-06-30T11:11:16+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:-0.004889s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000479s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000569s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000450s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000524s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | NOTIC: [8] Undefined variable: title 3f6448edb80585dfae75998878cf29ba.php 第 5 行.
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.008160s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008237s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000390s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000454s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000330s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000468s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001840s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000433s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000507s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000074s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:-0.010996s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.003673s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002898s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000091s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000095s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000128s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.004809s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000037s ]
[ 2013-06-30T11:12:23+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:-0.004792s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000748s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000846s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000831s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000908s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:13:25+08:00 ] / | NOTIC: [8] Undefined variable: title 3f6448edb80585dfae75998878cf29ba.php 第 5 行.
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.007185s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007260s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000497s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000498s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000354s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000564s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002102s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000499s ]
[ 2013-06-30T11:13:25+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000568s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000538s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000640s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000460s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000539s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.006382s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006470s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000389s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000409s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000245s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000627s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001867s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000607s ]
[ 2013-06-30T11:15:13+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000683s ]
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-06-30T11:16:03+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000770s ]
