[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007413s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013743s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001745s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001843s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.049750s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049845s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000759s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000758s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000610s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000822s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003140s ]
[ 2013-01-29T13:05:07+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
