[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001499s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.027078s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.001522s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001706s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.083011s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.083206s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000903s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.001269s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.013852s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.017710s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.003267s ]
[ 2013-07-07T14:05:59+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.003385s ]
[ 2013-07-07T14:05:59+08:00 ] /assets/ico/favicon.png | ERR: (ThinkException) 无法加载模块assets
[ 2013-07-07T14:06:00+08:00 ] /assets/ico/favicon.png | ERR: (ThinkException) 无法加载模块assets
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001672s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001799s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002299s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002458s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.012700s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012815s ]
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-07-07T14:22:26+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.001277s ]
