[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001741s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001896s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002222s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002357s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033147s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033277s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001278s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001287s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001065s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001418s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005429s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001342s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001461s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000612s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.040822s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006099s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.008256s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.000133s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.000156s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000219s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.009050s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000063s ]
[ 2013-04-12T10:42:03+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.008386s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run CheckRoute Behavior [ RunTime:0.018195s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ route_check ] --END-- [ RunTime:0.018345s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001149s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001263s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_template ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run LocationTemplate Behavior [ RunTime:0.001266s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_template ] --END-- [ RunTime:0.001392s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_parse ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ParseTemplate Behavior [ RunTime:0.010597s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010720s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_filter ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ContentReplace Behavior [ RunTime:0.000815s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run TokenBuild Behavior [ RunTime:0.000854s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000761s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ShowRuntime Behavior [ RunTime:0.000999s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003740s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_end ] --START--
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Run ShowPageTrace Behavior [ RunTime:0.000913s ]
[ 2013-04-12T10:42:08+08:00 ] /Thinkphp_project/Index/checkEnv | INFO: Tag[ view_end ] --END-- [ RunTime:0.001024s ]
