[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004056s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004216s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002555s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002694s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run ParseTemplate Behavior [ RunTime:0.038496s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038628s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run ContentReplace Behavior [ RunTime:0.001349s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run TokenBuild Behavior [ RunTime:0.001445s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001209s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001576s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005926s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001603s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001729s ]
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Tag[ view_template ] --START--
[ 2013-05-01T22:49:28+08:00 ] /Thinkphp_project/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000774s ]
